"Reference","Value","Description","Distributer"
"C3","100u","Polarized capacitor, 35V",""
"C_bp_1","100u","Polarized capacitor, 35V",""
"C_bs1","100nF","cermaic capcitor, 50V",""
"C_bypass1","1u","ceramic capacitor, 25V",""
"C_comp1","100nF","Ceramic Capacitor, 50V",""
"C_comp2","10nF","Ceramic Capacitor, 25V",""
"C_decoup_3V3_2","10u","ceramic, 15V",""
"C_decoup_12V1","10u","ceramic, 18V",""
"C_decoup_12V2","10u","ceramic, 18V",""
"C_filter1","1u","Polarized capacitor",""
"C_filter2","47u","Polarized capacitor, 500V, >20W",""
"C_filter3","47u","Polarized capacitor, 400V",""
"C_in1","1u","ceramic capacitor, 15V, storing volts",""
"C_op_5","100nF","cermaic capcitor, 6V",""
"C_out1","1u","ceramic capacitor, 10V, load ripple",""
"C_snub1","2.2n","500 Voltage Rating Capacity, Fast Switching, Filmed Capacitor",""
"C_T1","1nF","ceramic capacitor, 25V",""
"C_vcc1","100u","Polarized capacitor, 35V",""
"C_X1","100n","X2 capacitor, 500V, >20W",""
"C_Y_1","2.2n","filmed capacitor,, 500V, >20W",""
"C_Y_2","2.2n","filmed capacitor, , 500V, >20W",""
"D1","LED","Light emitting diode",""
"D2","LED","Light emitting diode",""
"D3","W06G","Glass Passivated Single-Phase Bridge Rectifier, 420V Vrms, 1.5A If, WOG package",""
"D4","D_Zener","Zener diode",""
"D6","1N5819","40V 1A Schottky Barrier Rectifier Diode, DO-41",""
"D_fastSwitchig_out1","1N5820","80-100V 3A Schottky Barrier Rectifier Diode, DO-201AD",""
"D_fastSwitchig_out2","1N5820","100V 3A Schottky Barrier Rectifier Diode, DO-201AD",""
"D_snub1","UF5408","1000V 3A Soft Recovery Ultrafast Rectifier Diode, DO-201AD",""
"IC1","bp060674p12","Small High Voltage Module for PCB mounting up to 4 Watt 12V , 0.67mA , 6kV",""
"IC2","bp060674p12","Small High Voltage Module for PCB mounting up to 4 Watt 12V , 0.67mA , 6kV",""
"J1","B5B-XH-A_rotataryKnob","Connector Header Through Hole 5 position 0.098 (2.50mm)",""
"J2","Screw_Terminal_01x03","Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3","B5B-XH-A_rotataryKnob","Connector Header Through Hole 5 position 0.098 (2.50mm)","https://robu.in/product/b5b-xh-alfsn-jst-1x5p-5p-xh-tin-5-25%e2%84%8385%e2%84%83-3a-1-2-5mm-brass-direct-insert-pluginp2-5mm-wire-to-board-connector-rohs/"
