"Reference","Value","Footprint","Description","Distributer"
"C3","100u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","Polarized capacitor, 35V",""
"C_bp_1","100u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor, 35V",""
"C_bs1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","cermaic capcitor, 50V",""
"C_bypass1","1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","ceramic capacitor, 25V",""
"C_comp1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Ceramic Capacitor, 50V",""
"C_comp2","10nF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P10.00mm","Ceramic Capacitor, 25V",""
"C_decoup_3V1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","ceramic, 15V",""
"C_decoup_12V1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","ceramic, 18V",""
"C_decoup_12V2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","ceramic, 18V",""
"C_filter1","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor",""
"C_filter2","47u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","Polarized capacitor, 500V, >20W",""
"C_filter3","47u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","Polarized capacitor, 400V",""
"C_in1","1u","Capacitor_THT:C_Disc_D10.0mm_W2.5mm_P5.00mm","ceramic capacitor, 15V, storing volts",""
"C_op_5","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","cermaic capcitor, 6V",""
"C_out1","1u","Capacitor_THT:C_Disc_D10.0mm_W2.5mm_P5.00mm","ceramic capacitor, 10V, load ripple",""
"C_snub1","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","500 Voltage Rating Capacity, Fast Switching, Filmed Capacitor",""
"C_T1","1nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","ceramic capacitor, 25V",""
"C_vcc1","100u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","Polarized capacitor, 35V",""
"C_X1","100n","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4","X2 capacitor, 500V, >20W",""
"C_Y_1","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","filmed capacitor,, 500V, >20W",""
"C_Y_2","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","filmed capacitor, , 500V, >20W",""
