"Distributer","Reference","Value"
"","C3","100u"
"","C_bp_1","100u"
"","C_bs1","100nF"
"","C_bypass1","1u"
"","C_comp1","100nF"
"","C_comp2","10nF"
"","C_decoup_3V2","10u"
"","C_decoup_12V1","10u"
"","C_decoup_12V2","10u"
"","C_filter1","1u"
"","C_filter2","47u"
"","C_filter3","47u"
"","C_in1","1u"
"","C_in2","1u"
"","C_in3","1u"
"","C_op_5","100nF"
"","C_out1","1u"
"","C_snub1","2.2n"
"","C_T1","1nF"
"","C_vcc1","100u"
"","C_X1","100n"
"","C_Y_1","2.2n"
"","C_Y_2","2.2n"
"","D1","LED"
"","D2","LED"
"","D3","W06G"
"","D4","D_Zener"
"","D6","1N5819"
"","D_fastSwitchig_out1","1N5820"
"","D_fastSwitchig_out2","1N5820"
"","D_snub1","UF5408"
"","IC1","bp060674p12"
"","IC2","bp060674p12"
"","J1","B5B-XH-A_rotataryKnob"
"","J2","82_SMB-50-0-17_111_NH"
"https://robu.in/product/b5b-xh-alfsn-jst-1x5p-5p-xh-tin-5-25%e2%84%8385%e2%84%83-3a-1-2-5mm-brass-direct-insert-pluginp2-5mm-wire-to-board-connector-rohs/","J3","B5B-XH-A_rotataryKnob"
"robu.in/product/b2b-xh-alfsn-jst-1x2p-2p-xh-tin-2-25℃85℃-3a-1-2-5mm-brass-direct-insert-pluginp2-5mm-wire-to-board-connector-rohs/","J4","B2B-XH-A__LF__SN_ledTwoTerminal"
"robu.in/product/b2b-xh-alfsn-jst-1x2p-2p-xh-tin-2-25℃85℃-3a-1-2-5mm-brass-direct-insert-pluginp2-5mm-wire-to-board-connector-rohs/","J5","B2B-XH-A__LF__SN_ledTwoTerminal"
"https://robu.in/product/1-month-warranty-270/","J6","B4B-XH-A_LF__SN_oled_display"
"","J7","82_SMB-50-0-17_111_NH"
"","J9","1717732"
"","L1","68u"
"","Q1","FQPF7N90C"
"","R1","20k"
"","R2","20k"
"","R3","10k"
"","R4","10k"
"","R5","20k"
"","R6","20k"
"","R7","10k"
"","R8","20k"
"","R9","1k"
"","R10","3.10k"
"","R11","100"
"","R12","100"
"","RV1","470V"
"","R_comp1","10k"
"","R_dac1_pup_scl1","4.7k"
"","R_dac1_pup_sda1","4.7k"
"","R_down1","4.7k"
"","R_Fb1","1.5k"
"","R_gate1","22"
"","R_led1","2.2k"
"","R_pullDown1","10k"
"","R_sense1","0.68"
"","R_snub1","17"
"","R_startUp1","83k"
"","R_startUp2","83k"
"","R_startUp3","1.26k"
"","R_T1","18k"
"","R_up1","18k"
"","R_vcc1","47"
"https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/7508112339/22040879","T1","7508112339"
"","TH1","10"
"https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/","U1","KY-040"
"","U2","DEVKIT_V1_ESP32-WROOM-32"
"https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/","U3","KY-040"
"","U4","MIC4684"
"https://robu.in/product/uc3842n-texas-instruments-12v28v-pdip-8-ac-dc-controllers-and-regulators-rohs/","U5","UC3842N"
"https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/","U8","DM-OLED096-636"
"https://robu.in/product/1-month-warranty-385","U9","AP2112K-3.3"
"","U10","Optocoupler_DC_PhotoNPN_AKEC"
"https://www.tomsonelectronics.com/products/transistor-tl-431","U11","TL431D"
"","U12","ZC576300"
"","U13","ZC576300"
"https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/","X1","B2P-VH"
"https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/","X2","B2P-VH"
"https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/","X3","B2P-VH"
"https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/","X4","B2P-VH"
"https://robu.in/product/b2p-vhlfsn-jst-1x2p-2p-vh-tin-2-25%e2%84%8385%e2%84%83-10a-1-3-96mm-brass-direct-insert-pluginp3-96mm-wire-to-board-connector-rohs/","X5","B2P-VH"
