"Refs","Value","Footprint","Qty","DNP"
"C3","100u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","1",""
"C_bp_1","100u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C_bs1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_bypass1","1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_comp1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_comp2","10nF","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P10.00mm","1",""
"C_decoup_3V1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C_decoup_12V1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C_decoup_12V2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C_filter1","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C_filter2","47u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","1",""
"C_filter3","47u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","1",""
"C_in1","1u","Capacitor_THT:C_Disc_D10.0mm_W2.5mm_P5.00mm","1",""
"C_op_5","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_out1","1u","Capacitor_THT:C_Disc_D10.0mm_W2.5mm_P5.00mm","1",""
"C_snub1","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C_T1","1nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C_vcc1","100u","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","1",""
"C_X1","100n","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4","1",""
"C_Y_1","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C_Y_2","2.2n","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"D1","LED","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm","1",""
"D2","LED","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm","1",""
"D3","W06G","Diode_THT:Diode_Bridge_Round_D9.8mm","1",""
"D4","D_Zener","Diode_THT:D_5KP_P12.70mm_Horizontal","1",""
"D6","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D_fastSwitchig_out1","1N5820","Diode_THT:D_DO-15_P10.16mm_Horizontal","1",""
"D_fastSwitchig_out2","1N5820","Diode_THT:D_DO-15_P10.16mm_Horizontal","1",""
"D_snub1","UF5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"FL1","Choke_CommonMode_PulseElectronics_PH9455x826NL","Inductor_THT:L_CommonMode_PulseElectronics_PH9455xxx6NL_2","1",""
"IC1","bp060674p12","kaam25_footprints_symbol:bp060674p12","1",""
"IC2","bp060674p12","kaam25_footprints_symbol:bp060674p12","1",""
"J1","B5B-XH-A","kaam25_footprints_symbol:JST_B5B-XH-A","1",""
"J2","Screw_Terminal_01x03","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_360291_1x01_Horizontal_ScrewM3.0_Boxed","1",""
"J3","B5B-XH-A","kaam25_footprints_symbol:JST_B5B-XH-A","1",""
"J4","B2B-XH-A__LF__SN_","kaam25_footprints_symbol:JST_B2B-XH-A__LF__SN_","1",""
"J5","B2B-XH-A__LF__SN_","kaam25_footprints_symbol:JST_B2B-XH-A__LF__SN_","1",""
"J6","B4B-XH-A_LF__SN_","kaam25_footprints_symbol:JST_B4B-XH-A_LF__SN_","1",""
"J7","51494-2","kaam25_footprints_symbol:51494-2","1",""
"J8","51494-2","kaam25_footprints_symbol:51494-2","1",""
"L1","68u","Inductor_THT:L_Axial_L11.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_MECC","1",""
"Q1","FQPF7N90C","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R6","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R7","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R8","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R9","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R10","3.10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R11","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R12","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"RV1","470V","Varistor:RV_Disc_D15.5mm_W5mm_P7.5mm","1",""
"R_comp1","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","1",""
"R_dac1_pup_scl?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_dac1_pup_sda?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_dac2_pup_scl?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_dac2_pup_sda?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_down1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R_Fb1","1.5k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R_gate1","22","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_led1","2.2k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R_oled_pup_scl?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_oled_pup_sda?","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R_pullDown1","10k","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical","1",""
"R_sense1","0.68","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","1",""
"R_snub1","17","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","1",""
